number,exp,child,tax,fin,natur,edu,self
2093,220055.09,1,42983.0,0,0.0,4.0,4.0
2095,183497.92,1,23874.0,0,0.0,5.0,4.0
2097,222566.56,1,30300.0,0,0.0,4.0,3.0
2098,94077.11,2,15400.0,2500,0.0,3.0,3.0
2099,123515.55,1,19700.0,7500,0.0,4.0,3.0
2100,127196.56,2,20100.0,2500,0.0,3.0,4.0
2101,120001.26,1,7500.0,7500,2700.0,3.0,3.0
2102,168561.0,3,36020.0,2500,2000.0,2.0,3.0
2103,113914.22,1,0.0,2500,0.0,5.0,3.0
2104,181563.85,2,32000.0,2500,3000.0,4.0,3.0
2105,187359.5,2,39830.0,27500,3000.0,3.0,3.0
2106,172795.28,2,40300.0,12000,0.0,3.0,3.0
2107,122018.46,1,45600.0,0,0.0,5.0,3.0
2109,101875.58,1,0.0,2500,0.0,5.0,4.0
2110,210225.89,1,47570.0,27500,0.0,4.0,4.0
2111,141539.28,1,31960.0,7500,0.0,4.0,4.0
2112,221685.64,1,57700.0,57500,0.0,4.0,3.0
2113,152615.71,1,30050.0,11000,0.0,5.0,6.0
2114,216048.06,1,43626.0,20000,0.0,5.0,6.0
2115,125150.32,1,37470.0,7500,0.0,4.0,4.0
2116,61386.96,1,0.0,2500,0.0,4.0,2.0
2117,148667.92,1,34400.0,2500,0.0,5.0,6.0
2118,178225.61,1,34100.0,7500,0.0,5.0,6.0
2121,308588.81,1,90000.0,-57500,0.0,5.0,3.0
2122,91839.43,1,0.0,0,1500.0,4.0,3.0
2124,99263.69,1,0.0,0,1700.0,5.0,3.0
2125,190792.1,2,53306.0,0,1000.0,3.0,4.0
2126,215684.83,1,40283.0,2500,0.0,5.0,3.0
2127,229938.02,1,33083.0,2500,0.0,5.0,3.0
2128,182786.57,1,33183.0,2500,0.0,5.0,3.0
2129,208419.33,1,30560.0,-20000,0.0,5.0,3.0
2130,185093.34,1,39487.0,-32500,1500.0,4.0,4.0
2131,266473.3,1,36146.0,-85000,2000.0,4.0,4.0
2132,68999.23,1,3180.0,0,0.0,5.0,2.0
2133,113725.62,1,30840.0,0,0.0,5.0,4.0
2134,145877.9,1,32070.0,0,0.0,5.0,3.0
2135,147904.2,1,31250.0,0,0.0,5.0,2.0
2137,380791.47,2,36700.0,-110000,21688.88,3.0,5.0
2138,254045.79,2,39866.0,6000,0.0,2.0,5.0
2139,151990.45,1,26714.0,2500,0.0,5.0,3.0
2140,156215.48,1,21505.0,0,0.0,4.0,3.0
2143,69657.21,1,2273.0,2500,0.0,4.0,3.0
2144,183965.43,1,65840.0,12500,0.0,5.0,5.0
2145,120782.21,1,33583.0,7500,0.0,5.0,4.0
2146,153014.51,1,45231.0,12500,0.0,4.0,3.0
2147,145768.7,1,31549.0,7500,0.0,5.0,3.0
2148,73310.06,1,2273.0,2500,0.0,5.0,3.0
2149,150176.77,1,38900.0,2500,0.0,3.0,3.0
2150,160709.35,1,44600.0,7500,0.0,5.0,4.0
2151,125764.12,1,26400.0,7500,0.0,4.0,4.0
2152,171959.24,1,42290.0,7500,0.0,,
2153,103261.4,1,16700.0,2500,4000.0,3.0,2.0
2155,86951.13,1,0.0,12500,13100.0,2.0,3.0
2156,149983.59,1,31600.0,12500,0.0,5.0,4.0
2157,208589.34,2,62250.0,7500,0.0,3.0,4.0
2158,170376.02,2,42350.0,2500,0.0,3.0,3.0
2159,138520.06,2,38150.0,0,0.0,3.0,3.0
2160,111421.69,1,20900.0,0,0.0,4.0,3.0
2164,100669.06,1,4500.0,0,0.0,5.0,3.0
2165,63911.49,1,0.0,-2700,0.0,4.0,2.0
2166,170469.78,2,24000.0,0,0.0,3.0,3.0
2167,138190.47,1,38000.0,25000,0.0,5.0,3.0
2168,235964.08,3,32520.0,7500,0.0,2.0,3.0
2169,155540.89,2,41200.0,0,0.0,2.0,3.0
2170,299200.76,1,43960.0,-222500,0.0,5.0,3.0
2171,436800.8,1,110000.0,12500,0.0,4.0,3.0
2172,108673.18,1,32500.0,45000,0.0,4.0,3.0
2173,223067.6,3,68620.0,-22500,0.0,2.0,3.0
2175,59366.32,1,0.0,12500,0.0,5.0,3.0
2176,105330.08,1,38587.03,0,0.0,3.0,3.0
2177,76946.68,1,15751.0,0,0.0,5.0,4.0
2179,196228.36,2,46800.0,17500,0.0,3.0,5.0
2180,94000.55,1,7800.0,2500,0.0,5.0,3.0
2182,139969.97,1,28640.0,0,0.0,5.0,3.0
2183,144467.5,1,19110.0,17500,0.0,5.0,4.0
2184,179337.65,1,38005.0,2500,0.0,4.0,3.0
2185,146524.38,1,6600.0,2500,0.0,4.0,3.0
2189,179105.67,1,24330.0,7500,0.0,5.0,3.0
2190,47987.32,1,0.0,0,0.0,5.0,2.0
2191,156969.12,1,34500.0,0,0.0,5.0,2.0
2192,152051.16,1,37160.0,2500,0.0,5.0,3.0
2193,171395.1,2,26300.0,2500,0.0,2.0,3.0
2194,198720.55,2,35700.0,12500,0.0,3.0,2.0
2195,79789.35,1,0.0,7500,0.0,4.0,2.0
2196,357028.94,1,64501.0,12500,969.43,4.0,5.0
2197,93928.87,1,0.0,2000,0.0,4.0,3.0
2198,171243.59,1,33012.0,3000,0.0,5.0,4.0
2199,210319.76,1,53712.0,3000,0.0,5.0,3.0
2200,208438.63,1,45056.0,5000,0.0,5.0,4.0
2202,194054.69,1,71656.0,12500,0.0,5.0,4.0
2203,179452.83,1,49556.0,0,0.0,5.0,3.0
2204,206355.26,1,49056.0,7500,0.0,5.0,3.0
2208,142888.25,1,41260.0,12500,0.0,5.0,4.0
2209,195167.42,2,48334.0,12500,0.0,4.0,4.0
2211,130626.61,1,25350.0,0,0.0,5.0,2.0
2212,116067.58,1,19000.0,7500,0.0,5.0,3.0
2213,152270.76,1,41989.37,0,0.0,4.0,3.0
2214,143700.72,1,33245.0,0,0.0,2.0,5.0
2215,60127.04,2,18428.0,0,0.0,3.0,3.0
2216,96291.15,1,23058.52,0,0.0,5.0,4.0
2217,156742.1,1,44339.68,0,0.0,3.0,4.0
2218,217837.03,3,60600.0,7500,0.0,3.0,4.0
2219,214823.4,2,54760.0,2500,0.0,3.0,4.0
2220,225761.07,1,43650.0,2500,0.0,4.0,4.0
2222,106595.41,1,0.0,2500,0.0,4.0,3.0
2223,236341.49,2,38375.0,2500,0.0,4.0,3.0
2224,133520.56,1,30600.0,27500,0.0,4.0,3.0
2225,109024.33,1,46000.0,35000,0.0,5.0,5.0
2226,154585.24,1,36300.0,17500,0.0,4.0,4.0
2227,83273.41,1,28400.0,12500,0.0,4.0,3.0
2228,172242.83,2,35200.0,12500,0.0,3.0,3.0
2229,184822.37,1,48395.0,5000,0.0,5.0,6.0
2231,76382.81,1,10335.0,0,0.0,4.0,3.0
2232,201760.72,1,35543.0,0,0.0,5.0,6.0
2233,171959.24,1,42290.0,7500,0.0,5.0,6.0
2234,100545.09,1,18650.0,2500,0.0,5.0,3.0
2235,145856.9,1,40500.0,2500,0.0,5.0,5.0
2236,166386.81,2,49460.0,2500,0.0,3.0,3.0
2237,124657.7,1,21700.0,7500,0.0,5.0,5.0
2238,106804.21,1,36400.0,35000,0.0,4.0,3.0
2239,164395.12,1,20100.0,2500,0.0,5.0,3.0
2240,295829.25,1,61200.0,7500,0.0,4.0,3.0
2241,198392.27,3,48460.0,0,3000.0,2.0,3.0
2242,64089.28,1,0.0,-20000,12000.0,3.0,2.0
2243,157629.23,1,20800.0,45000,5330.0,5.0,5.0
2244,161516.08,1,26940.0,2500,0.0,5.0,3.0
2245,191974.81,1,37983.0,2500,0.0,5.0,3.0
2246,113687.12,1,12510.0,0,0.0,5.0,3.0
2247,126471.15,1,29319.0,22500,0.0,5.0,4.0
